"orden";"sitios";"codigo";"fecha";"año";"campaña";"tem_agua";"tem_aire";"od";"ph";"olores";"color";"espumas";"mat_susp";"colif_fecales_ufc_100ml";"escher_coli_ufc_100ml";"enteroc_ufc_100ml";"nitrato_mg_l";"nh4_mg_l";"p_total_l_mg_l";"fosf_ortofos_mg_l";"dbo_mg_l";"dqo_mg_l";"turbiedad_ntu";"hidr_deriv_petr_ug_l";"cr_total_mg_l";"cd_total_mg_l";"clorofila_a_ug_l";"microcistina_ug_l";"ica";"calidad_de_agua"
"28";"Náutico 400 m";"QU062";"31/10/2022";"2022";"Primavera";"18.6";"13";"7.38";"7,08";"Ausencia";"Ausencia";"Ausencia";"Presencia";"120";"80";"20";"5.1";"0.71";"0.49";"0.31";"no se midió";"<30";"20";"<0.10";"<0.005";"<0.001";"17.0";"<0.15";"41";"Extremadamente deteriorada"
"29";"Pejerrey Club 400 m";"QU063";"31/10/2022";"2022";"Primavera";"18.3";"13";"7";"7,24";"Ausencia";"Ausencia";"Presencia";"Ausencia";"900";"800";"20";"5.6";"0.64";"0.76";"0.44";"no se midió";"39";"25";"<0.10";"6";"<0.001";"63.7";"<0.15";"36";"Extremadamente deteriorada"
"30";"Calle 14 y Costa - Salida cloaca";"BZ078";"31/10/2022";"2022";"Primavera";"15.04";"11";"11.02";"8,05";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"1600";"1600";"320";"7.2";"0.45";"0.88";"0.28";"no se midió";"37";"37";"<0.10";"12";"<0.001";"92.4";"<0.15";"40";"Extremadamente deteriorada"
"31";"Puerto Trinidad calle 47";"BZ077";"31/10/2022";"2022";"Primavera";"18.06";"16";"10.39";"8,03";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"360";"330";"100";"8.5";"0.66";"0.31";"0.31";"no se midió";"30";"25";"<0.10";"<0.005";"<0.001";"8.5";"<0.15";"39";"Extremadamente deteriorada"
"32";"Costanera Hudson Calle 63";"BZ080";"31/10/2022";"2022";"Primavera";"18.7";"12";"8.54";"7,58";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"600";"500";"270";"5.9";"0.22";"0.51";"0.31";"no se midió";"48";"34";"<0.10";"8";"<0.001";"11.7";"<0.15";"40";"Extremadamente deteriorada"
"33";"Boca Cerrada (Res.Nat. Punta Lara)";"EN-extra";"31/10/2022";"2022";"Primavera";"no se midió";"10";"no se midió";"no se midió";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"150";"100";"30";"6.2";"0.14";"0.60";"0.38";"no se midió";"72";"39";"<0.10";"10";"<0.001";"74.2";"<0.15";"41";"Extremadamente deteriorada"
"34";"Camping Eva Perón";"EN081";"31/10/2022";"2022";"Primavera";"16";"7";"11.05";"9,17";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"210";"80";"90";"5.9";"0.15";"0.36";"0.21";"no se midió";"33";"31";"<0.10";"<0.005";"<0.001";"36.5";"0.19";"38";"Extremadamente deteriorada"
"35";"Toma de agua Club de Pesca";"EN082";"31/10/2022";"2022";"Primavera";"17.2";"6";"8.38";"8,09";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"95";"35";"50";"5.7";"0.41";"0.29";"0.23";"no se midió";"46";"26";"<0.10";"<0.005";"<0.001";"29.4";"<0.15";"41";"Extremadamente deteriorada"
"36";"Arroyo El Gato";"EN083";"31/10/0202";"2022";"Primavera";"18";"4";"7.36";"7,87";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"800";"700";"220";"5.4";"2.3";"0.36";"0.23";"no se midió";"<30";"23";"<0.10";"<0.005";"<0.001";"16.7";"<0.15";"37";"Extremadamente deteriorada"
"37";"Ensenada Prefectura Isla Santiago";"EN084";"31/10/0202";"2022";"Primavera";"17.1";"5";"8.98";"8,05";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"130";"30";"45";"6.1";"0.4";"0.24";"0.24";"no se midió";"<30";"39";"<0.10";"<0.005";"<0.001";"0.6";"<0.15";"54";"Muy deteriorada"
"38";"Balneario Palo Blanco";"BS092";"31/10/2022";"2022";"Primavera";"10";"12";"no se midió";"no se midió";"Ausencia";"Ausencia";"Ausencia";"Presencia";"800";"600";"400";"6.9";"0.38";"0.24";"0.24";"no se midió";"<30";"23";"<0.10";"<0.005";"<0.001";"2.1";"<0.15";"43";"Extremadamente deteriorada"
"39";"Diagonal 66 (descarga cloaca)";"BS095";"31/10/2022";"2022";"Primavera";"10";"12";"no se midió";"no se midió";"Ausencia";"Presencia";"Ausencia";"Presencia";"80000";"80000";"12000";"5.2";"1.2";"30.12";"0.39";"no se midió";"31";"18.2";"<0.10";"<0.005";"<0.001";"20.2";"<0.15";"37";"Extremadamente deteriorada"
"40";"Playa La Bagliardi";"BS091";"31/10/2022";"2022";"Primavera";"10";"12";"no se midió";"no se midió";"Ausencia";"Ausencia";"Ausencia";"Presencia";"1400";"1000";"380";"4.6";"0.8";"0.45";"0.43";"no se midió";"<30";"40";"<0.10";"<0.005";"<0.001";"0.2";"<0.15";"49";"Muy deteriorada"
"41";"Balneario Municipal";"BS094";"31/10/2022";"2022";"Primavera";"10";"12";"no se midió";"no se midió";"Ausencia";"Ausencia";"Ausencia";"Presencia";"1800";"1500";"500";"5.2";"0.55";"0.27";"0.27";"no se midió";"39";"90";"<0.10";"5";"<0.001";"10.5";"<0.15";"39";"Extremadamente deteriorada"
"42";"Playa La Balandra";"BS093";"31/10/2022";"2022";"Primavera";"10";"12";"no se midió";"no se midió";"Ausencia";"Ausencia";"Ausencia";"Presencia";"900";"600";"480";"5.1";"0.21";"0.48";"0.35";"no se midió";"<30";"70";"<0.10";"5";"<0.001";"48.0";"<0.15";"34";"Extremadamente deteriorada"
